연도,회차,사전예고,본공고,확약서 마감,질의 마감,제출,심사,지구명,블록,주택규모,세대수,유형,사업비(추정),컨소시엄,TP랩스,PM팀,담당자,팀원,진행상황,PQ목록 배포,PQ스캔본 취합,PQ원본취합,날인 예정일,,,,,,사전-본공고,본공고-확약서마감,확약서-질의마감,본공고-제출,제출-심사
2025,5-2차,25.04.30 (수),25.05.30 (금),25.06.09 (월),25.06.12 (목),25.07.14 (월),25.07.22 (화),광명시흥,A1-1,60이하,"1,655세대",통합공공임대,"3,369억","- 대우+금호+동부+흥한 (DA+DMB+길+해마)
- 대방+대방산업개발+유림이앤씨",,,,,,,,,,,,,,,,,,,
2025,5-2차,25.04.30 (수),25.05.30 (금),25.06.09 (월),25.06.12 (목),25.07.14 (월),25.07.22 (화),광명시흥,B1-7,60-85,786세대,선택형,"2,529억","- 대우+금호+동부+흥한 (DA+DMB+길+해마)
- 대방+대방산업개발+유림이앤씨",,,,,,,,,,,,,,,,,,,
2025,5-3차,25.04.30 (수),25.05.30 (금),25.06.09 (월),25.06.12 (목),25.07.08 (화),25.07.15 (화),광명시흥,S2-4,60이하 / 60~85,708세대,선택형,"2,020억","- DL건설+KR+중흥 (건원)
- 제일+장원건설+선두종합건설(해안)",,,,,,,,,,,,,,,30,#REF!,#REF!,39,7
2025,5-3차,25.04.30 (수),25.05.30 (금),25.06.09 (월),25.06.12 (목),25.07.08 (화),25.07.15 (화),광명시흥,S2-6,60이하 / 60~85,"1,231세대",일반형,"3,694억","- DL건설+KR+중흥 (건원)
- 제일+장원건설+선두종합건설(해안)",,,,,,,,,,,,,,,,,,,
2025,5-4차,25.04.30 (수),25.05.30 (금),25.06.09 (월),25.06.12 (목),25.07.14 (월),25.07.30 (수),광명시흥,S2-2,60이하 / 60~85,781세대,선택형,"2,360억",- GS70+대보22+CNC8 (DA+SI＋PAC+한빛),O,PM 2팀,최석원 전무,"김광진 팀장, 김재현 대리",완료,완료,완료,완료,,,,,,,30,#REF!,#REF!,45,16
2025,5-4차,25.04.30 (수),25.05.30 (금),25.06.09 (월),25.06.12 (목),25.07.14 (월),25.07.30 (수),광명시흥,S1-11,60이하 / 60~85,"1,066세대",일반형,"3,209억",- GS70+대보22+CNC8 (DA+SI＋PAC+한빛),O,PM 2팀,최석원 전무,"김광진 팀장, 김재현 대리",완료,완료,완료,완료,,,,,,,,,,,
2025,5-4차,25.04.30 (수),25.05.30 (금),25.06.09 (월),25.06.12 (목),25.07.14 (월),25.07.30 (수),시흥거모,A-1 (모듈러),60이하,801세대,통합공공임대,"1,859억",- GS70+대보22+CNC8 (DA+SI＋PAC+한빛),O,PM 2팀,최석원 전무,"김광진 팀장, 김재현 대리",완료,완료,완료,완료,,,,,,,,,,,
2025,6-1차,25.10.21 (화),25.10.30 (목),25.11.06 (목),25.11.12 (수),25.12.09 (화),25.12.16 (화),남양주왕숙2,A-6,60이하 / 60~85,510세대,공공분양,"1,530억",- 대보51+HJ19.5+남광19.5+우호6+국제4 (강남),,,,,,,,,,,,,,,9,#REF!,#REF!,40,7
2025,6-1차,25.10.21 (화),25.10.30 (목),25.11.06 (목),25.11.12 (수),25.12.09 (화),25.12.16 (화),남양주왕숙2,A-7,60이하 / 60~85,553세대,"이익공유형
공공분양","1,971억",- 대보51+HJ19.5+남광19.5+우호6+국제4 (강남),,,,,,,,,,,,,,,,,,,
2025,6-2차,25.10.21 (화),25.10.30 (목),25.11.06 (목),25.11.12 (수),25.12.05 (금),25.12.10 (수),부천대장,A-9,60이하 / 60~85,574세대,"분양전환
공공분양","1,689억","- GS51+한신22+우미20.5+ESI6.5 (해안,DA)
- 극동51+중흥17+서한15.5+대경10+신동아종건3.25+삼호3.25 (라온)",O,PM 2팀,최석원 전무,"김광진 팀장, 김재현 대리",완료,완료,완료,완료,,,,,,,9,#REF!,#REF!,36,5
2025,6-2차,25.10.21 (화),25.10.30 (목),25.11.06 (목),25.11.12 (수),25.12.05 (금),25.12.10 (수),인천계양,A-16,60이하,434세대,"분양전환
공공분양","1,319억","- GS51+한신22+우미20.5+ESI6.5 (해안,DA)
- 극동51+중흥17+서한15.5+대경10+신동아종건3.25+삼호3.25 (라온)",O,PM 2팀,최석원 전무,"김광진 팀장, 김재현 대리",완료,완료,완료,완료,,,,,,,,,,,
2025,6-2차,25.10.21 (화),25.10.30 (목),25.11.06 (목),25.11.12 (수),25.12.05 (금),25.12.10 (수),인천계양,A-18,60이하 / 60~85,782세대,통합공공임대,,"- GS51+한신22+우미20.5+ESI6.5 (해안,DA)
- 극동51+중흥17+서한15.5+대경10+신동아종건3.25+삼호3.25 (라온)",O,PM 2팀,최석원 전무,"김광진 팀장, 김재현 대리",완료,완료,완료,완료,,,,,,,,,,,
2025,6-3차,25.10.21 (화),25.10.30 (목),25.11.06 (목),25.11.12 (수),25.12.05 (금),25.12.12 (금),수원당수2,B-1,60이하 / 60~85,705세대,공공분양,"2,153억","- 대우53+동부20+계룡20+안택7 (해마,SI)
- 대방64.45+대방산업30.05+구일종건5.5 
(한빛)",,,,,,,,,,,,,,,9,#REF!,#REF!,36,7
2025,6-3차,25.10.21 (화),25.10.30 (목),25.11.06 (목),25.11.12 (수),25.12.05 (금),25.12.12 (금),수원당수2,A-1,60이하,693세대,통합공공임대,"1,469억","- 대우53+동부20+계룡20+안택7 (해마,SI)
- 대방64.45+대방산업30.05+구일종건5.5 
(한빛)",,,,,,,,,,,,,,,,,,,
2025,6-3차,25.10.21 (화),25.10.30 (목),25.11.06 (목),25.11.12 (수),25.12.05 (금),25.12.12 (금),수원당수2,A-3,60이하 / 60~85,911세대,통합공공임대,"2,002억","- 대우53+동부20+계룡20+안택7 (해마,SI)
- 대방64.45+대방산업30.05+구일종건5.5 
(한빛)",,,,,,,,,,,,,,,,,,,
2026,1-1차,25.12.12 (금),26.01.30 (금),26.02.06 (금),26.02.11 (수),26.03.16 (월),26.03.31 (화),오산오산,1BL,60이하 / 60~85,366세대,공공분양+공공임대(10년),"1,270억","- Dlenc51+동부25+태영14+금광10(해안,DA)",O,PM 2팀,이슬기 과장,김재현 대리,완료,완료,완료,완료,26.03.12 (목),,,,,,,,,,
2026,1-1차,25.12.12 (금),26.01.30 (금),26.02.06 (금),26.02.11 (수),26.03.16 (월),26.03.31 (화),인천검단,AA31,60이하 / 60~85,766세대,공공임대(선택),"2,288억","- Dlenc51+동부25+태영14+금광10(해안,DA)",O,PM 2팀,이슬기 과장,김재현 대리,완료,완료,완료,완료,26.03.12 (목),,,,,,,,,,
2026,1-1차,25.12.12 (금),26.01.30 (금),26.02.06 (금),26.02.11 (수),26.03.16 (월),26.03.31 (화),인천영종,A-57,60~85,272세대,공공분양,974억,"- Dlenc51+동부25+태영14+금광10(해안,DA)",O,PM 2팀,이슬기 과장,김재현 대리,완료,완료,완료,완료,26.03.12 (목),,,,,,,,,,
2026,1-1차,25.12.12 (금),26.01.30 (금),26.02.06 (금),26.02.11 (수),26.03.16 (월),26.03.31 (화),인천영종,A-63,60~85,293세대,공공분양,"1,049억","- Dlenc51+동부25+태영14+금광10(해안,DA)",O,PM 2팀,이슬기 과장,김재현 대리,완료,완료,완료,완료,26.03.12 (목),,,,,,,,,,
2026,1-2차,25.12.12 (금),26.01.30 (금),26.02.06 (금),26.02.11 (수),26.03.16 (월),26.04.09 (목),양주회천,A-23,60~85,636세대,공공분양,"2,136억","- 남광51+대보20+금강10.87+대광건영10+경화8.13(라온)
- 계룡+우미+서한+효성+우호",O,PM3팀,정재엽 팀장,"정해진 차장, 이슬기 과장",완료,완료,완료,완료,26.03.14 (토),,,,,,,,,,
2026,1-2차,25.12.12 (금),26.01.30 (금),26.02.06 (금),26.02.11 (수),26.03.16 (월),26.04.09 (목),양주회천,A-4,60이하,536세대,공공임대(선택),"1,555억","- 남광51+대보20+금강10.87+대광건영10+경화8.13(라온)
- 계룡+우미+서한+효성+우호",O,PM3팀,정재엽 팀장,"정해진 차장, 이슬기 과장",완료,완료,완료,완료,26.03.14 (토),,,,,,,,,,
2026,2-1차,26.03.31 (화),,,,,,위례업무,34BL,60이하 / 60~85,999세대,공공분양,"3,309억",- 대우+동부,,,,,,,,,,,,,,,,,,,
2026,2-1차,26.03.31 (화),,,,,,남양주왕숙,S-20BL,60이하 / 60~85,"1,267세대",통합공공임대,"2,883억",- 대우+동부,,,,,,,,,,,,,,,,,,,
2026,2-2차,26.03.31 (화),26.04.07 (화),26.04.17 (금),26.04.24 (금),26.05.19 (화),,"서울도봉
(성대야구장)",01BL,60이하 / 60~85,"2,100세대",공공분양+통합공공임대,"5,908억",- 현대+중흥,,,,,,,,,,,,,,,,,,,
2026,2-3차,26.03.31 (화),,,,,,평택고덕,A-72BL,60~85,773세대,공공분양,"2,610억",-금호+쌍용+우미,,,,,,,,,,,,,,,,,,,
2026,2-3차,26.03.31 (화),,,,,,평택고덕,A-73BL,60~85,522세대,공공분양,"1,748억",-금호+쌍용+우미,,,,,,,,,,,,,,,,,,,
2026,2-4차,26.03.31 (화),,,,,,평택고덕,A-69BL,60~85,"1,162세대",공공분양,"3,907억",- 극동+Dlenc+KR(계룡),,,,,,,,,,,,,,,,,,,
2026,2-4차,26.03.31 (화),,,,,,평택고덕,A-71BL,60이하 / 60~85,833세대,공공분양+통합공공임대,"2,685억",- 극동+Dlenc+KR(계룡),,,,,,,,,,,,,,,,,,,
2026,2-5차,26.03.31 (화),26.04.23 (목),,,,,평택고덕,A-70BL,60~85,"1,225세대",공공분양,"4,119억","- GS+HJ+대보+길축산업개발
- DL건설+계룡+남광",O,PM2팀,김광진 팀장,김재현 대리,진행중,,,,26.05.27 (수),,,,,,,,,,
2026,2-6차,26.03.31 (화),,,,,,인천검단,AA30BL,60이하 / 60~85,444세대,"분양전환
공공임대","1,402억","- BS한양+코오롱+신동아
- 금강주택+대광건영
- 동원개발
- 유림이앤씨",,,,,,,,,,,,,,,,,,,
2026,3-1차,,,,,,,안산장상,A10BL,60이하,325세대,공공분양,828억,- 한신+남광,,,,,,,,,,,,,,,,,,,
2026,3-1차,,,,,,,성남복정1,B2BL,60~85,735세대,공공분양,"2,322억",- 한신+남광,,,,,,,,,,,,,,,,,,,
2026,3-2차,,,,,,,수원당수,00,60이하 / 60~85,490세대,공공분양,"1,470억",- 계룡+Dlenc,,,,,,,,,,,,,,,,,,,
2026,3-2차,,,,,,,수원당수,C-1BL,60~85,364세대,공공분양,"1,162억",- 계룡+Dlenc,,,,,,,,,,,,,,,,,,,
2026,3-2차,,,,,,,수원당수,C-4BL,60~85,880세대,공공분양,"2,815억",- 계룡+Dlenc,,,,,,,,,,,,,,,,,,,
2026,3-3차,,,,,,,고양창릉,B1BL,60~85,"1,594세대",통합공공임대,"4,718억",- 동부+대우,,,,,,,,,,,,,,,,,,,
2026,3-3차,,,,,,,양주고읍2,C13BL,85초과,320세대,공공분양,946억,- 동부+대우,,,,,,,,,,,,,,,,,,,
2026,3-4차,,,,,,,화성동탄,한옥마을,60~85,464세대,공공분양,"1,392억","- 우미
- 극동",,,,,,,,,,,,,,,,,,,
